Details of Training:-----------------------
dataset: PhonemeSpectra
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_fedproto_dir0.3
PID: 856949
PPID: 856933
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: fedprotodataset: CharacterTrajectoriesdescription: har_fedproto_dir0.3federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falsefedproto:  lamda: 1.0logPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.9    wd: 0
dataset: PhonemeSpectraround:175 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:176 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:177 server aggregation  testACC:0.23560990158067402 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:178 server aggregation  testACC:0.23531166119892633 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:179 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:180 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:181 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:182 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:183 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:184 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:185 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:186 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:187 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:188 server aggregation  testACC:0.23411869967193558 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:189 server aggregation  testACC:0.23262749776319713 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:190 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:191 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:192 server aggregation  testACC:0.23352221890844022 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:193 server aggregation  testACC:0.23411869967193558 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:194 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:195 server aggregation  testACC:0.23382045929018788 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:196 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:197 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
